Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
rfbC	b2038	2109581	2110138	rfbACX // rfbBDACX	EG11979	rfbAp // 			DNA-binding transcriptional dual regulator Nac	
yehE	b2112	2192515	2192796	yehE	EG11991		Nac DNA-binding-site regulating yehE	ppGpp // DNA-binding transcriptional repressor GlaR // DNA-binding transcriptional dual regulator Nac	ppGpp // DNA-binding transcriptional dual regulator Nac // DNA-binding transcriptional repressor GlaR	DNA-binding transcriptional repressor GlaR // DNA-binding transcriptional dual regulator Nac
tmk	b1098	1155124	1155765	pabC-mltG-tmk-holB-ycfH	EG12302					
yadG	b0127	142779	143705	yadGH	EG12320					
sthA	b3962	4159390	4160790	sthA	EG11428	sthAp			DNA-binding transcriptional dual regulator Lrp // Phosphorylated DNA-binding transcriptional dual regulator ArcA // small regulatory RNA Spot 42	
ndh	b1109	1166085	1167389	ndh	EG10649	ndhp	DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating ndhp // NsrR DNA-binding-site 6 bases downstream of ndhp // PdhR DNA-binding-site 35 bases upstream of ndhp // Fnr DNA-binding-site 94.5 bases upstream of ndhp // Fnr DNA-binding-site 50.5 bases upstream of ndhp // Fis DNA-binding-site 51 bases downstream of ndhp // IHF DNA-binding-site 58 bases upstream of ndhp // IHF DNA-binding-site 17 bases upstream of ndhp // IHF DNA-binding-site 26 bases downstream of ndhp // Fis DNA-binding-site 123 bases upstream of ndhp // ArcA-Pasp54 DNA-binding-site 57 bases upstream of ndhp // ArcA-Pasp54 DNA-binding-site 36 bases downstream of ndhp // ArcA-Pasp54 DNA-binding-site 52 bases downstream of ndhp // ArcA-Pasp54 DNA-binding-site 57 bases downstream of ndhp // ArcA-Pasp54 DNA-binding-site 66 bases downstream of ndhp // ArcA-Pasp54 DNA-binding-site 68 bases downstream of ndhp // Fis DNA-binding-site 72 bases upstream of ndhp	DNA-binding transcriptional dual regulator Fis // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator NsrR // DNA-binding transcriptional dual regulator PdhR // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator IHF // Phosphorylated DNA-binding transcriptional dual regulator ArcA	RNA polymerase, sigma 70 (sigma D) factor // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator NsrR // DNA-binding transcriptional dual regulator PdhR // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator IHF // Phosphorylated DNA-binding transcriptional dual regulator ArcA	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator NsrR // DNA-binding transcriptional dual regulator PdhR // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator IHF // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator Fis
yafD	b0209	231122	231922	yafDE	EG11650	yafDp			RNA polymerase, sigma 32 (sigma H) factor // DNA-binding transcriptional dual regulator Nac	
udp	b3831	4016431	4017192	udp	EG11045	udpP	CytR DNA-binding-site 87 bases upstream of udpP // CytR DNA-binding-site 70.5 bases upstream of udpP // CytR DNA-binding-site 61 bases upstream of udpP // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 93.5 bases upstream of udpP // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of udpP	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor CytR	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor CytR	DNA-binding transcriptional repressor CytR // CRP-cAMP DNA-binding transcriptional dual regulator
rbsK	b3752	3937294	3938223	rbsDACBKR	EG10818	rbsDp	RbsR DNA-binding-site 8.5 bases downstream of rbsDp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of rbsDp	CRP-cAMP DNA-binding transcriptional dual regulator // small regulatory RNA DsrA // DNA-binding transcriptional dual regulator RbsR	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // small regulatory RNA DsrA // DNA-binding transcriptional dual regulator RbsR	DNA-binding transcriptional dual regulator RbsR // CRP-cAMP DNA-binding transcriptional dual regulator
dgcC	b0385	403703	404818	adrA	EG11257	adrAp	CsgD DNA-binding-site 47 bases upstream of adrAp // CsgD DNA-binding-site 65.5 bases upstream of adrAp	DNA-binding transcriptional dual regulator CsgD	RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator CsgD	DNA-binding transcriptional dual regulator CsgD
