promoter,pos,binding_site,gc
TSS_1414_storz_regulondb,-40,1,1
TSS_1414_storz_regulondb,-39,1,1
TSS_1414_storz_regulondb,-27,2,1
TSS_1414_storz_regulondb,-26,2,1
TSS_1414_storz_regulondb,-25,2,1
TSS_1414_storz_regulondb,-24,2,1
TSS_1414_storz_regulondb,-23,2,1
TSS_1414_storz_regulondb,-19,3,1
TSS_1414_storz_regulondb,-18,3,1
TSS_1414_storz_regulondb,-17,3,1
TSS_1414_storz_regulondb,-16,3,1
TSS_1414_storz_regulondb,-15,3,1
TSS_1414_storz_regulondb,-14,3,1
TSS_1414_storz_regulondb,4,4,1
TSS_1414_storz_regulondb,5,4,1
TSS_1414_storz_regulondb,6,4,1
TSS_1414_storz_regulondb,7,4,1
TSS_1414_storz_regulondb,8,4,1
TSS_1414_storz_regulondb,16,5,1
TSS_1414_storz_regulondb,18,5,1
TSS_1414_storz_regulondb,19,5,1
TSS_1414_storz_regulondb,20,5,1
TSS_1414_storz_regulondb,-40,1,2
TSS_1414_storz_regulondb,-27,2,2
TSS_1414_storz_regulondb,-26,2,2
TSS_1414_storz_regulondb,-25,2,2
TSS_1414_storz_regulondb,-24,2,2
TSS_1414_storz_regulondb,-23,2,2
TSS_1414_storz_regulondb,-19,3,2
TSS_1414_storz_regulondb,-18,3,2
TSS_1414_storz_regulondb,-17,3,2
TSS_1414_storz_regulondb,-16,3,2
TSS_1414_storz_regulondb,-15,3,2
TSS_1414_storz_regulondb,-14,3,2
TSS_1414_storz_regulondb,-12,3,2
TSS_1414_storz_regulondb,-11,3,2
TSS_1414_storz_regulondb,-10,3,2
TSS_1414_storz_regulondb,6,4,2
TSS_1414_storz_regulondb,7,4,2
TSS_1414_storz_regulondb,8,4,2
TSS_1414_storz_regulondb,18,5,2
TSS_1414_storz_regulondb,19,5,2
TSS_1414_storz_regulondb,20,5,2
TSS_1414_storz_regulondb,21,5,2
TSS_1414_storz_regulondb,22,5,2
TSS_1414_storz_regulondb,-27,1,3
